sample	time	resource	inoculum	replicate.id
S_00266	Day_003	Medium-C	Water	2
S_00267	Day_003	Medium-C	Water	3
S_00268	Day_003	Medium-C	Water	4
S_00269	Day_003	Medium-C	Soil	1
S_00270	Day_003	Medium-C	Soil	2
S_00271	Day_003	Medium-C	Soil	3
S_00272	Day_003	Medium-C	Soil	4
S_00281	Day_003	Medium-C	Water	5
S_00282	Day_003	Medium-C	Water	6
S_00283	Day_003	Medium-C	Water	7
S_00284	Day_003	Medium-C	Water	8
S_00285	Day_003	Medium-C	Soil	5
S_00286	Day_003	Medium-C	Soil	6
S_00287	Day_003	Medium-C	Soil	7
S_00288	Day_003	Medium-C	Soil	8
S_00297	Day_004	Medium-A	Water	1
S_00298	Day_004	Medium-A	Water	2
S_00299	Day_004	Medium-A	Water	3
S_00300	Day_004	Medium-A	Water	4
S_00301	Day_004	Medium-A	Soil	1
S_00302	Day_004	Medium-A	Soil	2
S_00303	Day_004	Medium-A	Soil	3
S_00304	Day_004	Medium-A	Soil	4
S_00313	Day_004	Medium-A	Water	5
S_00314	Day_004	Medium-A	Water	6
S_00315	Day_004	Medium-A	Water	7
S_00316	Day_004	Medium-A	Water	8
S_00317	Day_004	Medium-A	Soil	5
S_00318	Day_004	Medium-A	Soil	6
S_00319	Day_004	Medium-A	Soil	7
S_00320	Day_004	Medium-A	Soil	8
S_00329	Day_004	Medium-B	Water	1
S_00330	Day_004	Medium-B	Water	2
S_00331	Day_004	Medium-B	Water	3
S_00332	Day_004	Medium-B	Water	4
S_00333	Day_004	Medium-B	Soil	1
S_00334	Day_004	Medium-B	Soil	2
S_00335	Day_004	Medium-B	Soil	3
S_00336	Day_004	Medium-B	Soil	4
S_00345	Day_004	Medium-B	Water	5
S_00346	Day_004	Medium-B	Water	6
S_00347	Day_004	Medium-B	Water	7
S_00348	Day_004	Medium-B	Water	8
S_00349	Day_004	Medium-B	Soil	5
S_00350	Day_004	Medium-B	Soil	6
S_00351	Day_004	Medium-B	Soil	7
S_00352	Day_004	Medium-B	Soil	8
S_00361	Day_004	Medium-C	Water	1
S_00362	Day_004	Medium-C	Water	2
S_00363	Day_004	Medium-C	Water	3
S_00364	Day_004	Medium-C	Water	4
S_00365	Day_004	Medium-C	Soil	1
