sample	time	resource	inoculum	replicate.id
S_01295	Day_014	Medium-B	Soil	3
S_01296	Day_014	Medium-B	Soil	4
S_01305	Day_014	Medium-B	Water	5
S_01306	Day_014	Medium-B	Water	6
S_01307	Day_014	Medium-B	Water	7
S_01308	Day_014	Medium-B	Water	8
S_01309	Day_014	Medium-B	Soil	5
S_01310	Day_014	Medium-B	Soil	6
S_01311	Day_014	Medium-B	Soil	7
S_01312	Day_014	Medium-B	Soil	8
S_01321	Day_014	Medium-C	Water	1
S_01322	Day_014	Medium-C	Water	2
S_01323	Day_014	Medium-C	Water	3
S_01324	Day_014	Medium-C	Water	4
S_01325	Day_014	Medium-C	Soil	1
S_01326	Day_014	Medium-C	Soil	2
S_01327	Day_014	Medium-C	Soil	3
S_01328	Day_014	Medium-C	Soil	4
S_01337	Day_014	Medium-C	Water	5
S_01338	Day_014	Medium-C	Water	6
S_01339	Day_014	Medium-C	Water	7
S_01340	Day_014	Medium-C	Water	8
S_01341	Day_014	Medium-C	Soil	5
S_01342	Day_014	Medium-C	Soil	6
S_01343	Day_014	Medium-C	Soil	7
S_01344	Day_014	Medium-C	Soil	8
S_01353	Day_015	Medium-A	Water	1
S_01354	Day_015	Medium-A	Water	2
S_01355	Day_015	Medium-A	Water	3
S_01356	Day_015	Medium-A	Water	4
S_01357	Day_015	Medium-A	Soil	1
S_01358	Day_015	Medium-A	Soil	2
S_01359	Day_015	Medium-A	Soil	3
S_01360	Day_015	Medium-A	Soil	4
S_01369	Day_015	Medium-A	Water	5
S_01370	Day_015	Medium-A	Water	6
S_01371	Day_015	Medium-A	Water	7
S_01372	Day_015	Medium-A	Water	8
S_01373	Day_015	Medium-A	Soil	5
S_01374	Day_015	Medium-A	Soil	6
S_01375	Day_015	Medium-A	Soil	7
S_01376	Day_015	Medium-A	Soil	8
S_01385	Day_015	Medium-B	Water	1
S_01386	Day_015	Medium-B	Water	2
S_01387	Day_015	Medium-B	Water	3
S_01388	Day_015	Medium-B	Water	4
S_01389	Day_015	Medium-B	Soil	1
S_01390	Day_015	Medium-B	Soil	2
S_01391	Day_015	Medium-B	Soil	3
S_01392	Day_015	Medium-B	Soil	4
S_01401	Day_015	Medium-B	Water	5
S_01402	Day_015	Medium-B	Water	6
S_01403	Day_015	Medium-B	Water	7
S_01404	Day_015	Medium-B	Water	8
S_01405	Day_015	Medium-B	Soil	5
S_01406	Day_015	Medium-B	Soil	6
S_01407	Day_015	Medium-B	Soil	7
S_01408	Day_015	Medium-B	Soil	8
S_01417	Day_015	Medium-C	Water	1
S_01418	Day_015	Medium-C	Water	2
S_01419	Day_015	Medium-C	Water	3
S_01420	Day_015	Medium-C	Water	4
S_01421	Day_015	Medium-C	Soil	1
S_01422	Day_015	Medium-C	Soil	2
S_01423	Day_015	Medium-C	Soil	3
S_01424	Day_015	Medium-C	Soil	4
S_01433	Day_015	Medium-C	Water	5
S_01434	Day_015	Medium-C	Water	6
S_01435	Day_015	Medium-C	Water	7
S_01436	Day_015	Medium-C	Water	8
S_01437	Day_015	Medium-C	Soil	5
S_01438	Day_015	Medium-C	Soil	6
S_01439	Day_015	Medium-C	Soil	7
S_01440	Day_015	Medium-C	Soil	8
S_01449	Day_016	Medium-A	Water	1
S_01450	Day_016	Medium-A	Water	2
S_01451	Day_016	Medium-A	Water	3
S_01452	Day_016	Medium-A	Water	4
S_01453	Day_016	Medium-A	Soil	1
S_01454	Day_016	Medium-A	Soil	2
S_01455	Day_016	Medium-A	Soil	3
S_01456	Day_016	Medium-A	Soil	4
S_01465	Day_016	Medium-A	Water	5
S_01466	Day_016	Medium-A	Water	6
S_01467	Day_016	Medium-A	Water	7
S_01468	Day_016	Medium-A	Water	8
S_01469	Day_016	Medium-A	Soil	5
S_01470	Day_016	Medium-A	Soil	6
S_01471	Day_016	Medium-A	Soil	7
S_01472	Day_016	Medium-A	Soil	8
S_01481	Day_016	Medium-B	Water	1
S_01482	Day_016	Medium-B	Water	2
S_01483	Day_016	Medium-B	Water	3
S_01484	Day_016	Medium-B	Water	4
S_01485	Day_016	Medium-B	Soil	1
S_01486	Day_016	Medium-B	Soil	2
S_01487	Day_016	Medium-B	Soil	3
S_01488	Day_016	Medium-B	Soil	4
S_01497	Day_016	Medium-B	Water	5
S_01498	Day_016	Medium-B	Water	6
S_01499	Day_016	Medium-B	Water	7
S_01500	Day_016	Medium-B	Water	8
S_01501	Day_016	Medium-B	Soil	5
S_01502	Day_016	Medium-B	Soil	6
S_01503	Day_016	Medium-B	Soil	7
S_01504	Day_016	Medium-B	Soil	8
S_01513	Day_016	Medium-C	Water	1
S_01514	Day_016	Medium-C	Water	2
S_01515	Day_016	Medium-C	Water	3
S_01516	Day_016	Medium-C	Water	4
S_01517	Day_016	Medium-C	Soil	1
S_01518	Day_016	Medium-C	Soil	2
S_01519	Day_016	Medium-C	Soil	3
S_01520	Day_016	Medium-C	Soil	4
S_01529	Day_016	Medium-C	Water	5
S_01530	Day_016	Medium-C	Water	6
S_01531	Day_016	Medium-C	Water	7
S_01532	Day_016	Medium-C	Water	8
S_01533	Day_016	Medium-C	Soil	5
S_01534	Day_016	Medium-C	Soil	6
S_01535	Day_016	Medium-C	Soil	7
S_01536	Day_016	Medium-C	Soil	8
S_01545	Day_017	Medium-A	Water	1
S_01546	Day_017	Medium-A	Water	2
S_01547	Day_017	Medium-A	Water	3
S_01548	Day_017	Medium-A	Water	4
S_01549	Day_017	Medium-A	Soil	1
S_01550	Day_017	Medium-A	Soil	2
S_01551	Day_017	Medium-A	Soil	3
S_01552	Day_017	Medium-A	Soil	4
S_01561	Day_017	Medium-A	Water	5
S_01562	Day_017	Medium-A	Water	6
S_01563	Day_017	Medium-A	Water	7
S_01564	Day_017	Medium-A	Water	8
S_01565	Day_017	Medium-A	Soil	5
S_01566	Day_017	Medium-A	Soil	6
S_01567	Day_017	Medium-A	Soil	7
S_01568	Day_017	Medium-A	Soil	8
S_01577	Day_017	Medium-B	Water	1
S_01578	Day_017	Medium-B	Water	2
S_01579	Day_017	Medium-B	Water	3
S_01580	Day_017	Medium-B	Water	4
S_01581	Day_017	Medium-B	Soil	1
S_01582	Day_017	Medium-B	Soil	2
S_01583	Day_017	Medium-B	Soil	3
S_01584	Day_017	Medium-B	Soil	4
S_01593	Day_017	Medium-B	Water	5
S_01594	Day_017	Medium-B	Water	6
S_01595	Day_017	Medium-B	Water	7
S_01596	Day_017	Medium-B	Water	8
S_01597	Day_017	Medium-B	Soil	5
S_01598	Day_017	Medium-B	Soil	6
S_01599	Day_017	Medium-B	Soil	7
S_01600	Day_017	Medium-B	Soil	8
S_01609	Day_017	Medium-C	Water	1
S_01610	Day_017	Medium-C	Water	2
S_01611	Day_017	Medium-C	Water	3
S_01612	Day_017	Medium-C	Water	4
S_01613	Day_017	Medium-C	Soil	1
S_01614	Day_017	Medium-C	Soil	2
S_01615	Day_017	Medium-C	Soil	3
S_01616	Day_017	Medium-C	Soil	4
S_01625	Day_017	Medium-C	Water	5
S_01626	Day_017	Medium-C	Water	6
S_01627	Day_017	Medium-C	Water	7
S_01628	Day_017	Medium-C	Water	8
S_01629	Day_017	Medium-C	Soil	5
S_01630	Day_017	Medium-C	Soil	6
S_01631	Day_017	Medium-C	Soil	7
S_01632	Day_017	Medium-C	Soil	8
S_01641	Day_018	Medium-A	Water	1
S_01642	Day_018	Medium-A	Water	2
S_01643	Day_018	Medium-A	Water	3
S_01644	Day_018	Medium-A	Water	4
S_01645	Day_018	Medium-A	Soil	1
S_01646	Day_018	Medium-A	Soil	2
S_01647	Day_018	Medium-A	Soil	3
S_01648	Day_018	Medium-A	Soil	4
S_01657	Day_018	Medium-A	Water	5
S_01658	Day_018	Medium-A	Water	6
S_01659	Day_018	Medium-A	Water	7
S_01660	Day_018	Medium-A	Water	8
S_01661	Day_018	Medium-A	Soil	5
S_01662	Day_018	Medium-A	Soil	6
S_01663	Day_018	Medium-A	Soil	7
S_01664	Day_018	Medium-A	Soil	8
S_01673	Day_018	Medium-B	Water	1
S_01674	Day_018	Medium-B	Water	2
S_01675	Day_018	Medium-B	Water	3
S_01676	Day_018	Medium-B	Water	4
S_01677	Day_018	Medium-B	Soil	1
S_01678	Day_018	Medium-B	Soil	2
S_01679	Day_018	Medium-B	Soil	3
S_01680	Day_018	Medium-B	Soil	4
S_01689	Day_018	Medium-B	Water	5
S_01690	Day_018	Medium-B	Water	6
S_01691	Day_018	Medium-B	Water	7
S_01692	Day_018	Medium-B	Water	8
S_01693	Day_018	Medium-B	Soil	5
S_01694	Day_018	Medium-B	Soil	6
S_01695	Day_018	Medium-B	Soil	7
S_01696	Day_018	Medium-B	Soil	8
S_01705	Day_018	Medium-C	Water	1
S_01706	Day_018	Medium-C	Water	2
S_01707	Day_018	Medium-C	Water	3
S_01708	Day_018	Medium-C	Water	4
S_01709	Day_018	Medium-C	Soil	1
S_01710	Day_018	Medium-C	Soil	2
S_01711	Day_018	Medium-C	Soil	3
S_01712	Day_018	Medium-C	Soil	4
S_01721	Day_018	Medium-C	Water	5
S_01722	Day_018	Medium-C	Water	6
S_01723	Day_018	Medium-C	Water	7
S_01724	Day_018	Medium-C	Water	8
S_01725	Day_018	Medium-C	Soil	5
S_01726	Day_018	Medium-C	Soil	6
S_01727	Day_018	Medium-C	Soil	7
S_01728	Day_018	Medium-C	Soil	8
S_01737	Day_019	Medium-A	Water	1
S_01738	Day_019	Medium-A	Water	2
S_01739	Day_019	Medium-A	Water	3
S_01740	Day_019	Medium-A	Water	4
S_01741	Day_019	Medium-A	Soil	1
S_01742	Day_019	Medium-A	Soil	2
S_01743	Day_019	Medium-A	Soil	3
S_01744	Day_019	Medium-A	Soil	4
S_01753	Day_019	Medium-A	Water	5
S_01754	Day_019	Medium-A	Water	6
S_01755	Day_019	Medium-A	Water	7
S_01756	Day_019	Medium-A	Water	8
S_01757	Day_019	Medium-A	Soil	5
S_01758	Day_019	Medium-A	Soil	6
S_01759	Day_019	Medium-A	Soil	7
S_01760	Day_019	Medium-A	Soil	8
S_01769	Day_019	Medium-B	Water	1
S_01770	Day_019	Medium-B	Water	2
S_01771	Day_019	Medium-B	Water	3
S_01772	Day_019	Medium-B	Water	4
S_01773	Day_019	Medium-B	Soil	1
S_01774	Day_019	Medium-B	Soil	2
S_01775	Day_019	Medium-B	Soil	3
S_01776	Day_019	Medium-B	Soil	4
S_01785	Day_019	Medium-B	Water	5
S_01786	Day_019	Medium-B	Water	6
S_01787	Day_019	Medium-B	Water	7
S_01788	Day_019	Medium-B	Water	8
S_01789	Day_019	Medium-B	Soil	5
S_01790	Day_019	Medium-B	Soil	6
S_01791	Day_019	Medium-B	Soil	7
S_01792	Day_019	Medium-B	Soil	8
S_01801	Day_019	Medium-C	Water	1
S_01802	Day_019	Medium-C	Water	2
S_01803	Day_019	Medium-C	Water	3
S_01804	Day_019	Medium-C	Water	4
S_01805	Day_019	Medium-C	Soil	1
S_01806	Day_019	Medium-C	Soil	2
S_01807	Day_019	Medium-C	Soil	3
S_01808	Day_019	Medium-C	Soil	4
S_01817	Day_019	Medium-C	Water	5
S_01818	Day_019	Medium-C	Water	6
S_01819	Day_019	Medium-C	Water	7
S_01820	Day_019	Medium-C	Water	8
S_01821	Day_019	Medium-C	Soil	5
S_01822	Day_019	Medium-C	Soil	6
S_01823	Day_019	Medium-C	Soil	7
S_01824	Day_019	Medium-C	Soil	8
S_01833	Day_020	Medium-A	Water	1
S_01834	Day_020	Medium-A	Water	2
S_01835	Day_020	Medium-A	Water	3
S_01836	Day_020	Medium-A	Water	4
S_01837	Day_020	Medium-A	Soil	1
S_01838	Day_020	Medium-A	Soil	2
S_01839	Day_020	Medium-A	Soil	3
S_01840	Day_020	Medium-A	Soil	4
S_01849	Day_020	Medium-A	Water	5
S_01850	Day_020	Medium-A	Water	6
S_01851	Day_020	Medium-A	Water	7
S_01852	Day_020	Medium-A	Water	8
S_01853	Day_020	Medium-A	Soil	5
S_01854	Day_020	Medium-A	Soil	6
S_01855	Day_020	Medium-A	Soil	7
S_01856	Day_020	Medium-A	Soil	8
S_01865	Day_020	Medium-B	Water	1
S_01866	Day_020	Medium-B	Water	2
S_01867	Day_020	Medium-B	Water	3
S_01868	Day_020	Medium-B	Water	4
S_01869	Day_020	Medium-B	Soil	1
S_01870	Day_020	Medium-B	Soil	2
S_01871	Day_020	Medium-B	Soil	3
S_01872	Day_020	Medium-B	Soil	4
S_01881	Day_020	Medium-B	Water	5
S_01882	Day_020	Medium-B	Water	6
S_01883	Day_020	Medium-B	Water	7
S_01884	Day_020	Medium-B	Water	8
S_01885	Day_020	Medium-B	Soil	5
S_01886	Day_020	Medium-B	Soil	6
S_01887	Day_020	Medium-B	Soil	7
S_01888	Day_020	Medium-B	Soil	8
S_01897	Day_020	Medium-C	Water	1
S_01898	Day_020	Medium-C	Water	2
S_01899	Day_020	Medium-C	Water	3
S_01900	Day_020	Medium-C	Water	4
S_01901	Day_020	Medium-C	Soil	1
S_01902	Day_020	Medium-C	Soil	2
S_01903	Day_020	Medium-C	Soil	3
S_01904	Day_020	Medium-C	Soil	4
S_01913	Day_020	Medium-C	Water	5
S_01914	Day_020	Medium-C	Water	6
S_01915	Day_020	Medium-C	Water	7
S_01916	Day_020	Medium-C	Water	8
S_01917	Day_020	Medium-C	Soil	5
S_01918	Day_020	Medium-C	Soil	6
S_01919	Day_020	Medium-C	Soil	7
S_01920	Day_020	Medium-C	Soil	8
S_01929	Day_021	Medium-A	Water	1
S_01930	Day_021	Medium-A	Water	2
S_01931	Day_021	Medium-A	Water	3
S_01932	Day_021	Medium-A	Water	4
S_01933	Day_021	Medium-A	Soil	1
S_01934	Day_021	Medium-A	Soil	2
S_01935	Day_021	Medium-A	Soil	3
S_01936	Day_021	Medium-A	Soil	4
S_01945	Day_021	Medium-A	Water	5
S_01946	Day_021	Medium-A	Water	6
S_01947	Day_021	Medium-A	Water	7
S_01948	Day_021	Medium-A	Water	8
S_01949	Day_021	Medium-A	Soil	5
S_01950	Day_021	Medium-A	Soil	6
S_01951	Day_021	Medium-A	Soil	7
S_01952	Day_021	Medium-A	Soil	8
S_01961	Day_021	Medium-B	Water	1
S_01962	Day_021	Medium-B	Water	2
S_01963	Day_021	Medium-B	Water	3
S_01964	Day_021	Medium-B	Water	4
S_01965	Day_021	Medium-B	Soil	1
S_01966	Day_021	Medium-B	Soil	2
S_01967	Day_021	Medium-B	Soil	3
S_01968	Day_021	Medium-B	Soil	4
S_01977	Day_021	Medium-B	Water	5
S_01978	Day_021	Medium-B	Water	6
S_01979	Day_021	Medium-B	Water	7
S_01980	Day_021	Medium-B	Water	8
S_01981	Day_021	Medium-B	Soil	5
S_01982	Day_021	Medium-B	Soil	6
S_01983	Day_021	Medium-B	Soil	7
S_01984	Day_021	Medium-B	Soil	8
S_01993	Day_021	Medium-C	Water	1
S_01994	Day_021	Medium-C	Water	2
S_01995	Day_021	Medium-C	Water	3
S_01996	Day_021	Medium-C	Water	4
S_01997	Day_021	Medium-C	Soil	1
S_01998	Day_021	Medium-C	Soil	2
S_01999	Day_021	Medium-C	Soil	3
S_02000	Day_021	Medium-C	Soil	4
S_02009	Day_021	Medium-C	Water	5
S_02010	Day_021	Medium-C	Water	6
S_02011	Day_021	Medium-C	Water	7
S_02012	Day_021	Medium-C	Water	8
S_02013	Day_021	Medium-C	Soil	5
S_02014	Day_021	Medium-C	Soil	6
S_02015	Day_021	Medium-C	Soil	7
S_02016	Day_021	Medium-C	Soil	8
S_02025	Day_022	Medium-A	Water	1
S_02026	Day_022	Medium-A	Water	2
S_02027	Day_022	Medium-A	Water	3
S_02028	Day_022	Medium-A	Water	4
S_02029	Day_022	Medium-A	Soil	1
S_02030	Day_022	Medium-A	Soil	2
S_02031	Day_022	Medium-A	Soil	3
S_02032	Day_022	Medium-A	Soil	4
S_02041	Day_022	Medium-A	Water	5
S_02042	Day_022	Medium-A	Water	6
S_02043	Day_022	Medium-A	Water	7
S_02044	Day_022	Medium-A	Water	8
S_02045	Day_022	Medium-A	Soil	5
S_02046	Day_022	Medium-A	Soil	6
S_02047	Day_022	Medium-A	Soil	7
S_02048	Day_022	Medium-A	Soil	8
S_02057	Day_022	Medium-B	Water	1
S_02058	Day_022	Medium-B	Water	2
S_02059	Day_022	Medium-B	Water	3
S_02060	Day_022	Medium-B	Water	4
S_02061	Day_022	Medium-B	Soil	1
S_02062	Day_022	Medium-B	Soil	2
S_02063	Day_022	Medium-B	Soil	3
S_02064	Day_022	Medium-B	Soil	4
S_02073	Day_022	Medium-B	Water	5
S_02074	Day_022	Medium-B	Water	6
S_02075	Day_022	Medium-B	Water	7
S_02076	Day_022	Medium-B	Water	8
S_02077	Day_022	Medium-B	Soil	5
S_02078	Day_022	Medium-B	Soil	6
S_02079	Day_022	Medium-B	Soil	7
S_02080	Day_022	Medium-B	Soil	8
S_02089	Day_022	Medium-C	Water	1
S_02090	Day_022	Medium-C	Water	2
S_02091	Day_022	Medium-C	Water	3
S_02092	Day_022	Medium-C	Water	4
S_02093	Day_022	Medium-C	Soil	1
S_02094	Day_022	Medium-C	Soil	2
S_02095	Day_022	Medium-C	Soil	3
S_02096	Day_022	Medium-C	Soil	4
S_02105	Day_022	Medium-C	Water	5
S_02106	Day_022	Medium-C	Water	6
S_02107	Day_022	Medium-C	Water	7
S_02108	Day_022	Medium-C	Water	8
S_02109	Day_022	Medium-C	Soil	5
S_02110	Day_022	Medium-C	Soil	6
S_02111	Day_022	Medium-C	Soil	7
S_02112	Day_022	Medium-C	Soil	8
S_02121	Day_023	Medium-A	Water	1
S_02122	Day_023	Medium-A	Water	2
S_02123	Day_023	Medium-A	Water	3
S_02124	Day_023	Medium-A	Water	4
S_02125	Day_023	Medium-A	Soil	1
S_02126	Day_023	Medium-A	Soil	2
S_02127	Day_023	Medium-A	Soil	3
S_02128	Day_023	Medium-A	Soil	4
S_02137	Day_023	Medium-A	Water	5
S_02138	Day_023	Medium-A	Water	6
S_02139	Day_023	Medium-A	Water	7
S_02140	Day_023	Medium-A	Water	8
S_02141	Day_023	Medium-A	Soil	5
S_02142	Day_023	Medium-A	Soil	6
S_02143	Day_023	Medium-A	Soil	7
S_02144	Day_023	Medium-A	Soil	8
S_02153	Day_023	Medium-B	Water	1
S_02154	Day_023	Medium-B	Water	2
S_02155	Day_023	Medium-B	Water	3
S_02156	Day_023	Medium-B	Water	4
S_02157	Day_023	Medium-B	Soil	1
S_02158	Day_023	Medium-B	Soil	2
S_02159	Day_023	Medium-B	Soil	3
S_02160	Day_023	Medium-B	Soil	4
S_02169	Day_023	Medium-B	Water	5
S_02170	Day_023	Medium-B	Water	6
S_02171	Day_023	Medium-B	Water	7
S_02172	Day_023	Medium-B	Water	8
S_02173	Day_023	Medium-B	Soil	5
S_02174	Day_023	Medium-B	Soil	6
S_02175	Day_023	Medium-B	Soil	7
S_02176	Day_023	Medium-B	Soil	8
S_02185	Day_023	Medium-C	Water	1
S_02186	Day_023	Medium-C	Water	2
S_02187	Day_023	Medium-C	Water	3
S_02188	Day_023	Medium-C	Water	4
S_02189	Day_023	Medium-C	Soil	1
S_02190	Day_023	Medium-C	Soil	2
S_02191	Day_023	Medium-C	Soil	3
S_02192	Day_023	Medium-C	Soil	4
S_02201	Day_023	Medium-C	Water	5
S_02202	Day_023	Medium-C	Water	6
S_02203	Day_023	Medium-C	Water	7
S_02204	Day_023	Medium-C	Water	8
S_02205	Day_023	Medium-C	Soil	5
S_02206	Day_023	Medium-C	Soil	6
S_02207	Day_023	Medium-C	Soil	7
S_02208	Day_023	Medium-C	Soil	8
S_02217	Day_024	Medium-A	Water	1
S_02218	Day_024	Medium-A	Water	2
S_02219	Day_024	Medium-A	Water	3
S_02220	Day_024	Medium-A	Water	4
S_02221	Day_024	Medium-A	Soil	1
S_02222	Day_024	Medium-A	Soil	2
S_02223	Day_024	Medium-A	Soil	3
S_02224	Day_024	Medium-A	Soil	4
S_02233	Day_024	Medium-A	Water	5
S_02234	Day_024	Medium-A	Water	6
S_02235	Day_024	Medium-A	Water	7
S_02236	Day_024	Medium-A	Water	8
S_02237	Day_024	Medium-A	Soil	5
S_02238	Day_024	Medium-A	Soil	6
S_02239	Day_024	Medium-A	Soil	7
S_02240	Day_024	Medium-A	Soil	8
S_02249	Day_024	Medium-B	Water	1
S_02250	Day_024	Medium-B	Water	2
S_02251	Day_024	Medium-B	Water	3
S_02252	Day_024	Medium-B	Water	4
S_02253	Day_024	Medium-B	Soil	1
S_02254	Day_024	Medium-B	Soil	2
S_02255	Day_024	Medium-B	Soil	3
S_02256	Day_024	Medium-B	Soil	4
S_02265	Day_024	Medium-B	Water	5
S_02266	Day_024	Medium-B	Water	6
S_02267	Day_024	Medium-B	Water	7
S_02268	Day_024	Medium-B	Water	8
S_02269	Day_024	Medium-B	Soil	5
S_02270	Day_024	Medium-B	Soil	6
S_02271	Day_024	Medium-B	Soil	7
S_02272	Day_024	Medium-B	Soil	8
S_02281	Day_024	Medium-C	Water	1
S_02282	Day_024	Medium-C	Water	2
S_02283	Day_024	Medium-C	Water	3
S_02284	Day_024	Medium-C	Water	4
S_02285	Day_024	Medium-C	Soil	1
S_02286	Day_024	Medium-C	Soil	2
S_02287	Day_024	Medium-C	Soil	3
S_02288	Day_024	Medium-C	Soil	4
S_02297	Day_024	Medium-C	Water	5
S_02298	Day_024	Medium-C	Water	6
S_02299	Day_024	Medium-C	Water	7
S_02300	Day_024	Medium-C	Water	8
S_02301	Day_024	Medium-C	Soil	5
S_02302	Day_024	Medium-C	Soil	6
S_02303	Day_024	Medium-C	Soil	7
S_02304	Day_024	Medium-C	Soil	8
S_02313	Day_025	Medium-A	Water	1
S_02314	Day_025	Medium-A	Water	2
S_02315	Day_025	Medium-A	Water	3
S_02316	Day_025	Medium-A	Water	4
S_02317	Day_025	Medium-A	Soil	1
S_02318	Day_025	Medium-A	Soil	2
S_02319	Day_025	Medium-A	Soil	3
S_02320	Day_025	Medium-A	Soil	4
S_02329	Day_025	Medium-A	Water	5
S_02330	Day_025	Medium-A	Water	6
S_02331	Day_025	Medium-A	Water	7
S_02332	Day_025	Medium-A	Water	8
S_02333	Day_025	Medium-A	Soil	5
S_02334	Day_025	Medium-A	Soil	6
S_02335	Day_025	Medium-A	Soil	7
S_02336	Day_025	Medium-A	Soil	8
S_02345	Day_025	Medium-B	Water	1
S_02346	Day_025	Medium-B	Water	2
S_02347	Day_025	Medium-B	Water	3
S_02348	Day_025	Medium-B	Water	4
S_02349	Day_025	Medium-B	Soil	1
S_02350	Day_025	Medium-B	Soil	2
S_02351	Day_025	Medium-B	Soil	3
S_02352	Day_025	Medium-B	Soil	4
S_02361	Day_025	Medium-B	Water	5
S_02362	Day_025	Medium-B	Water	6
S_02363	Day_025	Medium-B	Water	7
S_02364	Day_025	Medium-B	Water	8
S_02365	Day_025	Medium-B	Soil	5
S_02366	Day_025	Medium-B	Soil	6
S_02367	Day_025	Medium-B	Soil	7
S_02368	Day_025	Medium-B	Soil	8
S_02377	Day_025	Medium-C	Water	1
S_02378	Day_025	Medium-C	Water	2
S_02379	Day_025	Medium-C	Water	3
S_02380	Day_025	Medium-C	Water	4
S_02381	Day_025	Medium-C	Soil	1
S_02382	Day_025	Medium-C	Soil	2
S_02383	Day_025	Medium-C	Soil	3
S_02384	Day_025	Medium-C	Soil	4
S_02393	Day_025	Medium-C	Water	5
S_02394	Day_025	Medium-C	Water	6
S_02395	Day_025	Medium-C	Water	7
S_02396	Day_025	Medium-C	Water	8
S_02397	Day_025	Medium-C	Soil	5
S_02398	Day_025	Medium-C	Soil	6
S_02399	Day_025	Medium-C	Soil	7
S_02400	Day_025	Medium-C	Soil	8
S_02409	Day_026	Medium-A	Water	1
S_02410	Day_026	Medium-A	Water	2
S_02411	Day_026	Medium-A	Water	3
S_02412	Day_026	Medium-A	Water	4
S_02413	Day_026	Medium-A	Soil	1
S_02414	Day_026	Medium-A	Soil	2
S_02415	Day_026	Medium-A	Soil	3
S_02416	Day_026	Medium-A	Soil	4
S_02425	Day_026	Medium-A	Water	5
S_02426	Day_026	Medium-A	Water	6
S_02427	Day_026	Medium-A	Water	7
S_02428	Day_026	Medium-A	Water	8
S_02429	Day_026	Medium-A	Soil	5
S_02430	Day_026	Medium-A	Soil	6
S_02431	Day_026	Medium-A	Soil	7
S_02432	Day_026	Medium-A	Soil	8
S_02441	Day_026	Medium-B	Water	1
S_02442	Day_026	Medium-B	Water	2
S_02443	Day_026	Medium-B	Water	3
S_02444	Day_026	Medium-B	Water	4
S_02445	Day_026	Medium-B	Soil	1
S_02446	Day_026	Medium-B	Soil	2
S_02447	Day_026	Medium-B	Soil	3
S_02448	Day_026	Medium-B	Soil	4
S_02457	Day_026	Medium-B	Water	5
S_02458	Day_026	Medium-B	Water	6
S_02459	Day_026	Medium-B	Water	7
S_02460	Day_026	Medium-B	Water	8
S_02461	Day_026	Medium-B	Soil	5
S_02462	Day_026	Medium-B	Soil	6
S_02463	Day_026	Medium-B	Soil	7
S_02464	Day_026	Medium-B	Soil	8
S_02473	Day_026	Medium-C	Water	1
S_02474	Day_026	Medium-C	Water	2
S_02475	Day_026	Medium-C	Water	3
S_02476	Day_026	Medium-C	Water	4
S_02477	Day_026	Medium-C	Soil	1
S_02478	Day_026	Medium-C	Soil	2
S_02479	Day_026	Medium-C	Soil	3
S_02480	Day_026	Medium-C	Soil	4
S_02489	Day_026	Medium-C	Water	5
S_02490	Day_026	Medium-C	Water	6
S_02491	Day_026	Medium-C	Water	7
S_02492	Day_026	Medium-C	Water	8
S_02493	Day_026	Medium-C	Soil	5
S_02494	Day_026	Medium-C	Soil	6
S_02495	Day_026	Medium-C	Soil	7
S_02496	Day_026	Medium-C	Soil	8
S_02505	Day_027	Medium-A	Water	1
S_02506	Day_027	Medium-A	Water	2
S_02507	Day_027	Medium-A	Water	3
S_02508	Day_027	Medium-A	Water	4
S_02509	Day_027	Medium-A	Soil	1
S_02510	Day_027	Medium-A	Soil	2
S_02511	Day_027	Medium-A	Soil	3
S_02512	Day_027	Medium-A	Soil	4
S_02521	Day_027	Medium-A	Water	5
S_02522	Day_027	Medium-A	Water	6
S_02523	Day_027	Medium-A	Water	7
S_02524	Day_027	Medium-A	Water	8
S_02525	Day_027	Medium-A	Soil	5
S_02526	Day_027	Medium-A	Soil	6
S_02527	Day_027	Medium-A	Soil	7
S_02528	Day_027	Medium-A	Soil	8
S_02537	Day_027	Medium-B	Water	1
S_02538	Day_027	Medium-B	Water	2
S_02539	Day_027	Medium-B	Water	3
S_02540	Day_027	Medium-B	Water	4
S_02541	Day_027	Medium-B	Soil	1
S_02542	Day_027	Medium-B	Soil	2
S_02543	Day_027	Medium-B	Soil	3
S_02544	Day_027	Medium-B	Soil	4
S_02553	Day_027	Medium-B	Water	5
S_02554	Day_027	Medium-B	Water	6
S_02555	Day_027	Medium-B	Water	7
S_02556	Day_027	Medium-B	Water	8
S_02557	Day_027	Medium-B	Soil	5
S_02558	Day_027	Medium-B	Soil	6
S_02559	Day_027	Medium-B	Soil	7
S_02560	Day_027	Medium-B	Soil	8
S_02569	Day_027	Medium-C	Water	1
S_02570	Day_027	Medium-C	Water	2
S_02571	Day_027	Medium-C	Water	3
S_02572	Day_027	Medium-C	Water	4
S_02573	Day_027	Medium-C	Soil	1
S_02574	Day_027	Medium-C	Soil	2
S_02575	Day_027	Medium-C	Soil	3
S_02576	Day_027	Medium-C	Soil	4
S_02585	Day_027	Medium-C	Water	5
S_02586	Day_027	Medium-C	Water	6
S_02587	Day_027	Medium-C	Water	7
S_02588	Day_027	Medium-C	Water	8
S_02589	Day_027	Medium-C	Soil	5
S_02590	Day_027	Medium-C	Soil	6
S_02591	Day_027	Medium-C	Soil	7
S_02592	Day_027	Medium-C	Soil	8
